<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GBPUSD,60,20190404,040000,1.3176000,1.3182000,1.3174000,1.3177000,35634
GBPUSD,60,20190404,050000,1.3177000,1.3179000,1.3170000,1.3177000,31632
GBPUSD,60,20190404,060000,1.3177000,1.3178000,1.3171000,1.3175000,27394
GBPUSD,60,20190404,070000,1.3175000,1.3178000,1.3168000,1.3171000,32184
GBPUSD,60,20190404,080000,1.3171000,1.3173000,1.3167000,1.3169000,32381
GBPUSD,60,20190404,090000,1.3169000,1.3187000,1.3166000,1.3182000,30231
GBPUSD,60,20190404,100000,1.3182000,1.3191000,1.3171000,1.3188000,98187
GBPUSD,60,20190404,110000,1.3188000,1.3191000,1.3168000,1.3186000,117115
GBPUSD,60,20190404,120000,1.3187000,1.3187000,1.3154000,1.3163000,113728
GBPUSD,60,20190404,130000,1.3163000,1.3165000,1.3140000,1.3157000,118489
GBPUSD,60,20190404,140000,1.3156000,1.3164000,1.3143000,1.3147000,114156
GBPUSD,60,20190404,150000,1.3147000,1.3149000,1.3128000,1.3133000,115414
GBPUSD,60,20190404,160000,1.3133000,1.3140000,1.3123000,1.3127000,119689
GBPUSD,60,20190404,170000,1.3127000,1.3130000,1.3101000,1.3112000,141997
GBPUSD,60,20190404,180000,1.3112000,1.3119000,1.3077000,1.3082000,140452
GBPUSD,60,20190404,190000,1.3082000,1.3085000,1.3061000,1.3070000,125564
GBPUSD,60,20190404,200000,1.3070000,1.3087000,1.3061000,1.3082000,89982
GBPUSD,60,20190404,210000,1.3082000,1.3084000,1.3064000,1.3070000,63977
GBPUSD,60,20190404,220000,1.3070000,1.3071000,1.3059000,1.3062000,59723
GBPUSD,60,20190404,230000,1.3063000,1.3086000,1.3062000,1.3082000,58865
GBPUSD,60,20190405,000000,1.3082000,1.3083000,1.3070000,1.3073000,31941
GBPUSD,60,20190405,010000,1.3072000,1.3078000,1.3066000,1.3070000,20953
GBPUSD,60,20190405,020000,1.3068000,1.3077000,1.3067000,1.3071000,21117
GBPUSD,60,20190405,030000,1.3071000,1.3075000,1.3066000,1.3073000,33912
GBPUSD,60,20190405,040000,1.3073000,1.3082000,1.3070000,1.3078000,40402
GBPUSD,60,20190405,050000,1.3078000,1.3082000,1.3073000,1.3078000,21371
GBPUSD,60,20190405,060000,1.3078000,1.3082000,1.3073000,1.3079000,30158
GBPUSD,60,20190405,070000,1.3079000,1.3091000,1.3078000,1.3090000,29374
GBPUSD,60,20190405,080000,1.3090000,1.3099000,1.3085000,1.3095000,36152
GBPUSD,60,20190405,090000,1.3095000,1.3122000,1.3089000,1.3109000,54314
GBPUSD,60,20190405,100000,1.3110000,1.3116000,1.3088000,1.3092000,69921
GBPUSD,60,20190405,110000,1.3092000,1.3107000,1.3089000,1.3095000,99383
GBPUSD,60,20190405,120000,1.3095000,1.3099000,1.3080000,1.3081000,116944
GBPUSD,60,20190405,130000,1.3081000,1.3089000,1.3072000,1.3082000,90732
GBPUSD,60,20190405,140000,1.3081000,1.3084000,1.3064000,1.3067000,72861
GBPUSD,60,20190405,150000,1.3067000,1.3072000,1.3054000,1.3066000,79194
GBPUSD,60,20190405,160000,1.3066000,1.3082000,1.3025000,1.3047000,140192
GBPUSD,60,20190405,170000,1.3047000,1.3052000,1.3013000,1.3021000,126684
GBPUSD,60,20190405,180000,1.3020000,1.3042000,1.3008000,1.3011000,122466
GBPUSD,60,20190405,190000,1.3011000,1.3021000,1.3002000,1.3008000,103378
GBPUSD,60,20190405,200000,1.3008000,1.3025000,1.2985000,1.3015000,85488
